,job_title,company_name,job_source,job_type,address,job_description,tech_keywords,job_posted_date,job_source_url
0,"senior python developer || 6 - 12 months contract || mclean, va (hybrid) || 10+ years experience required",dice,linkedin,contract,"mclean, va","about the job
hello,one of our clients is looking for senior python developer, it’s a hybrid position. please share your resume with nilesh at satconus dot com if you are interested in new opportunities.job title: senior python developerlocation: mclean, va (hybrid)duration: 6 - 12 months contractexperience: 10+ years requiredjob description: looking for a python api developer. python, flask, sql, pandas, numpy & pytest, unittest, monkey patch are all mandatory. experience with linux and docker are mandatory.strong proficiency in python programming language, including experience with frameworks such as flask, django and fastapi.experience with restful apis and microservices architecture, and an understanding of how to design and implement them effectively.back end skills: python, django/flask/fastapi, numpy, pandas and relational database.refactoring skills: knowledge of how to refactor code to improve its quality, maintainability, performance, and scalability while preserving its functionality.automation testing: pytest, unittest, monkey patch, pytest-mockito etc.build ci/cd tools: gradle, jenkins, git, conda, pip, jira, gitlab, confluencedevops: linux & dockerregardsnileshstaffing specialistnilesh at satconus dot com46 94 36 36 79 senior python developer || 6 - 12 months contract || mclean, va (hybrid) || 10+ years experience required",python,2023-05-05 07:30:39.481121+00:00,https://www.linkedin.com/jobs/view/3597363312/?alternateChannel=search&refId=XahunvLmG3rvzIpoBnzDAw%3D%3D&trackingId=26lTfQnHwoByafC1IiC9Wg%3D%3D&trk=d_flagship3_search_srp_jobs
1,senior python 3.9 developer-only w-2 candidates,consultnet,linkedin,contract,united states,"about the job
title: senior python 3.9 developer
duration: 6-8 months contract with a probable extension
location: central/east coast remote
only w-2 candidates need apply (no c2c)

job description
our client is a global resource for benchmarks and investable indices. asset managers, investment banks, and other financial institutions worldwide use their dji indices as the basis of etfs, mutual funds, futures, options, and various passive investment products. they are seeking experienced python developers with a proven record of hands-on experience building software systems. proven software engineering experience is a must have.

required skills:
• 8-10 years of software engineering experience.
• 5+ years python experience, current on latest python versions 3.9+.
• strong object-oriented programming, code abstraction and design pattern experience required.
• a background in other object-oriented programming languages such as java, c# or c++ is helpful, but must also be current and proficient in python.
• candidates will need to demonstrate systems design experience including design patterns, structure.
• detail oriented - maintain a high standard of code style, performance, testability, etc.
• demonstrated ability to maintain detailed, fine-grained unit tests and to maintain large test suites.
• strong knowledge of ci/cd pipeline scan/test/build/deploy processes. jenkins experience preferred.
• containerized applications including docker experience is helpful
• bachelor's degree in computer science, information systems, engineering or mathematics is required, or in lieu, a demonstrated equivalence in work experience.

bonus skills:
• algorithm and/or mathematical computation skills preferred. ideally you would enjoy solving mathematics or statistics problems through code.
• experience with rules engines and/or dsl (domain specific languages)
• pandas and numpy library experience preferred. bonus if having experience on distributed computing dataframe systems.



be a part of the consultnet difference. as a leading national provider of it staffing and solutions, consultnet delivers exceptional services to startup, midmarket and fortune 1000 companies across north america. since 1996, we've partnered with clients to create rewarding opportunities for our consultants, successfully building teams that have surefire results.
in the past two years alone, we have placed more than 1,500 consultants in contract, contract-to-hire, or direct placement opportunities. we understand communication is key to finding the right job that matches your skills and career goals. for us, it's not just the work that we do; it's how we do the work. our breadth of offerings extends to multiple it positions in major markets throughout the country, see more at - www.consultnet.com


desired skills and experience
python",python,2023-05-05 07:30:39.480667+00:00,https://www.linkedin.com/jobs/view/3592884385/?alternateChannel=search&refId=XahunvLmG3rvzIpoBnzDAw%3D%3D&trackingId=ZPWiUZ7CxD0I%2BzG%2BynOHhA%3D%3D&trk=d_flagship3_search_srp_jobs
2,maximo developer,compunnel inc.,linkedin,contract,"st louis, mo","about the job
candidates have to travel onsite to st. louis for the first 3-4 days on contract, but will be expenses paid!
duties and responsibilities
• supports, maintains, develops and configures solutions for maximo.
• responds, when required, to triage production issues related to maximo and related integrations and adheres to the service level agreement set forth
• influences and participates in building quality practices into development team
• prepares technical design documents based on business requirements for enhancements
• effectively collaborates within your specific team, as well as across agile teams to ensure alignment in dependencies, and how each team’s work impacts your own
• follows standards of development set forth
• supports integration of utility applications with various modules of e-business suite, fusion middleware, cc&b, click and other third-party applications
• ensures built-in quality, partnering with quality assurance, as it pertains to unit/developer testing
• identifies and supports performance improvement activities using software tools
• fully imbedded in development teams, and participates in all ceremonies and planning, focused on acceptance criteria that is clear, precise, and testable
• accepts work into the team backlog and owns the commitment related to what has been laid out to be completed each pi
• participates in technical workshops with pm/po’s across the app delivery teams, and when necessary, business stakeholders
essential characteristics and competencies
• believes in a non-hierarchical culture of collaboration, transparency, and trust across the art
• demonstrate servant leader mindset
• understanding of agile values and principles and the ability to translate that knowledge into practice
• ability to work under pressure and meet tight deadlines as well as adapt in a fast moving, changing culture
• ability to develop for maintainability, scalability, and overall system performance
• aptitude and ability to analyze and understand system technologies and how they relate to business processes
• ability to recognize problems and respond, systematically gather information, sort through complex issues, understand consequences of decisions, provides recommendation, and seeks input from leadership
• understand, support, and follow devops migration process, outlined by architects
supervisory responsibilities
• no direct supervision in this role; however indirect leadership and influence on technical team required
required education (certifications, licenses)
• bachelor’s degree - computer science, information technology, or technical engineering preferred
• safe certification(s) a plus
required knowledge, skill and abilities
• understanding of supporting and configuring within maximo, including custom applications, or extending out of the box applications in maximo.
• analytical skills/capabilities to solve complicated issues arising during design and testing phases
• experience in the fundamentals of iterative and incremental development practices
• experience with supporting integrations to other applications. experience with web services (rest and soap), flat files, xml, interface tables preferred
• experience using sql server, sql, and relational database
• experience in writing technical designs
• 3+ years of maximo asset management development, v7.6.x or higher
• 3+ years maximo automation scripting, using javascript, jython, python
• 3+ years of related work experience on cross-functional, cross-geographical integrated systems and projects a plus
• experience in maximo workflow design, development
• experience developing in an agile environment a plus
",python,2023-05-05 07:30:39.479602+00:00,https://www.linkedin.com/jobs/view/3593206843/?alternateChannel=search&refId=b0BX%2FVn5Cx3j%2By6pf02j5A%3D%3D&trackingId=muoY9AapCQylPouq7i5a0g%3D%3D&trk=d_flagship3_search_srp_jobs
3,google apps script developer,praxis consultants inc,linkedin,contract,"ashburn, va","about the job
must have skills (most important):
- expert in google apps script and the g-suite ecosystem
- expert in javascript, html, and css
- programming/development, including concepts like apis
desired skills:
- familiar with typescript
- familiar with versioning, git, gitlab
- ides, especially vs code
- process automation/simplification
- atlassian tool -- jira and confluence -- development, including their apis
optional skills:
- additional development languages like python, perl, bash
- microsoft visio for creating process trees and flow charts
logistics:
shift: standard 9-5; no weekends; no on-call
work from home",python,2023-05-05 07:30:39.479360+00:00,https://www.linkedin.com/jobs/view/3593222013/?alternateChannel=search&refId=b0BX%2FVn5Cx3j%2By6pf02j5A%3D%3D&trackingId=XWwOGW89IB2l%2FwaUtltoHg%3D%3D&trk=d_flagship3_search_srp_jobs
4,project manager,allegis group,linkedin,contract,"morrisville, nc","about the job
description

we are currently seeking a seasoned project manager for a contract position with our customer's engit group. engit is an internal, centralized technology group that supports the engineering organization (group that creates products for them). the support scm (source code management) tools. this pm will need to have worked in a devops environment in the past and ideally been exposed to scm tools such as git and bitbucket.

one example of why they exist: they do this work so engineers/developers do not have to worry about where code is stored or put builds into jenkins – they make it seamless for engineers to spin up a pipeline from a ui interface button and spin it up.

role description

the engineering devops as a service team that is looking for an experienced technical project manager. edaas is a fast-paced group that is working to modernize and evolve development workflows in their engineering with modern, cloud-native tools and processes. the ideal candidate is self-motivated to gather, manage and analyze data and processes to proactively support multiple service teams including containerized distribution, binary management, build management, source code management, etc.

responsibilities of this role
this role will provide leadership, technical direction, and guidance to a development team to design, implement, maintain, and update edaas projects as they relate to binary management, build management and source code management.
shall serve as the main point of contact to receive and collaborate on all work for the containerized distribution platform, collaborating with smes to ensure accuracy.
track project status across available tools enabling stakeholders to make decisions by communicating status, timelines, expectations, actions, risks, and next steps.
coordinate between a multitude of cross-functional teams and set clear expectations about responsibilities to internal customers.
understand the solution and implementation path to execute large, complex security and cloud programs.
you will work alongside engineers and various product teams in building secure integration across our applications.
create roadmaps and drive execution.
provide weekly leadership updates.

skills and experience
5 years of experience in technical project management with practical expertise in process analysis, change management, risk management and communications.
experience working with engineering and leadership teams (e.g., engineering managers, product managers, security engineers, site reliability engineers, software engineers, and developer operations.)
experience in open-source technologies and/or cloud infrastructure and saas environment.
experience on a devops team and is familiar with scm and ci/cd concepts.
domain experience in one or more of the following:
basic python or bash scripting, saml sso, scim, okta, github actions, etc.
exercise design and architecture related knowledge to develop and drive technical solutions alongside development teams.
working knowledge of jenkins, artifactory, github, aws, and sonarqube.
be comfortable in a fast-paced, self-guided, dynamic, and innovative environment.
demonstrate a willingness to be flexible and adaptable to changing priorities.
agile working environment utilizing jira cloud.
pmp certification a plus.

here are the engit offerings to the various teams they support in their engineering organization.

artifactory: scalable artifact management with a tightly-coupled integration to jenkins.

devhub: an external artifactory binary repository management solution for their external users.

dockerhub: secure, cisco-hosted, and geographically distributed registry for docker container images built on jfrog artifactory.

git lfs: a secure, cisco-hosted large file storage service which helps you to separate your large binary files and your source code.

jenkins - centralized: multi-tenant, enterprise jenkins from cloudbees software providing continuous integration to global teams, enabling repeatable build management and monitoring of job execution. shared instance with shared build nodes to get your team adopting continuous integration immediately.

jenkins - dedicated: jenkins enterprise installed for an individual team to use. provides administrative access to the development team and is supported and managed 24x7x365 by the engit ci team.

selenium box: allows you to simulate different browser sessions for testing web applications.

sonarqube: an open source static analysis tool used for gathering code quality metrics.

must work est hours.

skills

git, devops, scm, python, ansible, bitbucket, kubernetes

top skills details

git,devops,scm

additional skills & qualifications

scm tool knowledge - (git, bitbucket, etc.)

experience level

expert level

about teksystems

we're partners in transformation. we help clients activate ideas and solutions to take advantage of a new world of opportunity. we are a team of 80,000 strong, working with over 6,000 clients, including 80% of the fortune 500, across north america, europe and asia. as an industry leader in full-stack technology services, talent services, and real-world application, we work with progressive leaders to drive change. that's the power of true partnership. teksystems is an allegis group company.

the company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",python,2023-05-05 07:30:39.477766+00:00,https://www.linkedin.com/jobs/view/3596638479/?alternateChannel=search&refId=RYFhvl8iOjWgOTM1Md5G%2Fg%3D%3D&trackingId=mk3yaFbq73P4D98JdsN0XQ%3D%3D&trk=d_flagship3_search_srp_jobs
5,scientific software engineer,scismic,linkedin,full time remote,"new hampshire, united states","about the job
scismic is supporting the growth of a company that is building aws for the sciences, with a mission of improving the world through better healthcare outcomes.

we are seeking a client solutions engineer (cse) to join the team. as a client solutions engineer (cse), you'll work directly with scientists and engineers to understand their most important problems and automate them away using the company's platform. you’ll be the tip of the spear of our efforts to accelerate science, and will have a highly independent and varied role in owning the implementation and success of the company. you will apply your problem-solving, creativity, and technical skills to derive and implement solutions to drive real-world impact.

cses are effectively ctos for clients' builds; you’ll have substantial autonomy to execute projects end-to-end. the company forms the core data backbone of labs and scientific manufacturing, so you’ll wear many hats:

client owner: own implementation by working with client executives and users to define and prioritize problems, building a deep understanding of their lab instruments and scientific analysis, and then setting up company platform pipelines to automate these details. you’ll be the expert on your clients’ scientific data, processes, and operations.
software engineer: collaborate with fellow engineers to define the architecture needed for the company's core platform, integrate our web backend and infra into client systems, and develop applications to interact with biotech lab instrument hardware.
culture carrier: be a key determinant of our culture, and will help us grow and set norms for the business as we scale.


our principles

improving lives through better medicine: we’re intensely mission-focused, and are building a highly scalable business to make an impact on society.
kindness: we come from a future where all human beings are treated with dignity, inclusivity, and active empathy, so we apply that to ourselves first in how we hire and treat each other.
transparency: we are one team, and hold that openness is foundational to ensuring fairness, and that our actions tie to our shared mission.
accountability: we believe that trust is the basis for building anything substantial, and stems from our being accountable to ourselves and each other


requirements

what we look for:

2+ years of full-time experience developing software or writing analytical code
excellent collaboration skills in both written and verbal forms, as well as via clear, cleanly written code
strong engineering background, preferably in computer science, physics, or engineering discipline
proficiency with analytical programming languages (e.g. - scientific python , mathematica, julia, etc.)
willingness and desire to travel to client sites in boston area (manchester, nh and cambridge, ma).
hungry, curiosity, and motivation to learn about and solve data problems for clients with the rest of the team
desire to improve software infrastructure for scientists advancing the health and welfare of people


pluses (but not required by any means!):

fluency with implementing numerical methods in a non-academic setting
familiarity with software development for scientific instrumentation, lab automation, or robotics
experience developing software running on cloud infrastructure


benefits

remote-first role and culture, with periodic reimbursed travel for the team to meet together
significant equity as an early employee
unlimited pto & sick days
excellent health benefits (medical, dental & vision), life, and disability insurance
family leave (maternity, paternity, medical, caregiver)",python,2023-05-04 20:14:18.383648+00:00,https://www.linkedin.com/jobs/view/3557183379/?alternateChannel=search&refId=ZmpX%2FHVjEUVdADCJh%2FiWBg%3D%3D&trackingId=0OhWRABNyk0z4H6bE0E5Pw%3D%3D&trk=d_flagship3_search_srp_jobs
6,documentum developer,idea helix,linkedin,contract,united states,"about the job
· 7-10 years of progressive experience in building ecm applications using documentum.

· must have past experience with migration and cloning of documentum applications/repositories.

· must have past experience with database tuning, database partitioning of documentum applications. expertise in fine-tuning application components for optimal performance

· must have past experience with load, stress, endurance testing of content management applications

· experience with documentum platform upgrade of 6.x and 7.x would be a plus.

· must have strong linux/unix background.

· must have strong scripting and automation experience (python, jython, perl, shell, groovy etc)

· in-depth knowledge in administration, configuration, installation and maintenance of documentum content server.

· in-depth knowledge of documentum extensions like xplore server/agent configuration, adts/cts/mts, thumbnail, business object framework, sharepoint connector, captiva scanning solutions, reveille monitoring system.

· extensive working experience with content management, high volume server, docbase security, object model, user management, alias sets, versioning, workflow, dfc, documentum methods, jobs management and business object framework.

· in-depth knowledge in documentum client application d2, documentum administrator, records manager, dfc and wdk based application.

· in-depth knowledge of development tools like composer, idql, iapi, dar installer, process integrator, process engine, business process manager, bps, workflow manager, xcp designer, eclipse, sts, soapui, postman etc. good understanding of various frameworks and design patterns used in developing products.

· experienced with devops tools for release, configuration management, monitoring, containerization (jenkins, puppet, git, docker, jira, wiki, splunk etc)

· experienced with implementing solutions using java & j2ee technologies, rest, web services, spring, gwt framework

· experienced with databases like oracle and sql server, mongo db.

· experienced with application servers like weblogic, jboss, tomcat, tc server.

· experienced with providing support for existing production applications, troubleshooting, resolving problems.

· strong interpersonal & communication skills and proven independent & teamwork capabilities.

· experienced with agile methodology of development.

· progressive experience in all the phases of sdlc includes requirements analysis, design, development, integration, maintenance, and support of software applications.

· emc documentum content management foundation, architect certification, a plus.",python,2023-05-04 15:52:12.615248+00:00,https://www.linkedin.com/jobs/view/3592834974/?alternateChannel=search&refId=QnrS4CQknlyA1zi6yaSJNg%3D%3D&trackingId=0Y4I3bEC6BbC660Wa%2FVZmw%3D%3D&trk=d_flagship3_search_srp_jobs
7,python developer,"software guidance & assistance, inc. (sga, inc.)",linkedin,contract,united states,"about the job
software guidance & assistance, inc., (sga), is searching for a python developer for a contract assignment with one of our premier analytics clients in a remote role.
***w2 only- no third party agencies***
responsibilities :
contributes to building a system used for balancing the global financial market indices.
strong object-oriented programming skills
expert-level knowledge of the python programming language
experience building full software systems and reusable libraries
thinks about wholistic systems, design patterns, and has some architecture experience
strives to create elegant, efficient code
can optimize / refactor code for optimal performance
contributes to open source or create reusable libraries
enjoys the challenge of solving difficult and unique problems
works collaboratively as a team player on a multi-functional agile software team

required skills:
bachelor's degree in computer science, information systems, engineering or mathematics is required, or in lieu, a demonstrated equivalence in work experience.
8-10 years of software engineering experience.
5+ years python experience, current on latest python versions 3.9+.
strong object-oriented programming, code abstraction and design pattern experience required.
a background in other object-oriented programming languages such as java, c# or c++ is helpful, but must also be current and proficient in python.
candidates will need to demonstrate systems design experience including design patterns, structure.
detail oriented maintain a high standard of code style, performance, testability, etc.
demonstrated ability to maintain detailed, fine-grained unit tests and to maintain large test suites.
strong knowledge of ci/cd pipeline scan/test/build/deploy processes.
containerized applications including docker experience is helpful
preferred skills:
algorithm and/or mathematical computation skills preferred. ideally you would enjoy solving mathematics or statistics problems through code.
experience with rules engines and/or dsl (domain specific languages)
pandas and numpy
jenkins experience preferred.

sga is a technology and resource solutions provider driven to stand out. we are a women-owned business. our mission: to solve big it problems with a more personal, boutique approach. each year, we match consultants like you to more than 1,000 engagements. when we say let's work better together, we mean it. you'll join a diverse team built on these core values: customer service, employee development, and quality and integrity in everything we do. be yourself, love what you do and find your passion at work. please find us at https://sgainc.com .

eeo employer: race, color, sex, sexual orientation, gender identity, religion, national origin, disability, veteran status, age, marital status, pregnancy, genetic information, or other legally protected status.
desired skills and experience
python",python,2023-05-04 10:34:47.922974+00:00,https://www.linkedin.com/jobs/view/3591542028/?alternateChannel=search&refId=ZmYyAhJmve0mRoBiyLfEIA%3D%3D&trackingId=ClQUqgHtGfyiZL%2F9h0edHQ%3D%3D&trk=d_flagship3_search_srp_jobs
8,google apps script developer,ampcus inc,linkedin,contract,united states,"about the job
we are hiring for google apps script developer. 12+ months contract.
description:
targeted years of experience: 5-7 years
job duties:
· working on automating the product security team's project management process by writing google apps script code to tie-in and automate g-suite products like gmail, forms, sheets, docs, and drive.
· the candidate will help design and develop process automation that satisfies the team's requirements for managing their engagements, work-streams and workload.
· the candidate will add to, and grow, existing automation code written in google apps script.
· the candidate will need to learn and understand the product security team's project management process, how it fits into the product organization, and then identify opportunities for process simplification and automation.
must have skills (most important):
· expert in google apps script and the g-suite ecosystem
· expert in javascript, html, and css
· programming/development, including concepts like apis
desired skills:
· familiar with typescript
· familiar with versioning, git, gitlab
· ides, especially vs code
· process automation/simplification
· atlassian tool -- jira and confluence -- development, including their apis
optional skills:
· additional development languages like python, perl, bash
· microsoft visio for creating process trees and flow charts
logistics:
· shift: standard 9-5; no weekends; no on-call
· work from home",python,2023-05-04 10:34:47.912478+00:00,https://www.linkedin.com/jobs/view/3561981784/?alternateChannel=search&refId=J56I0IXRtKlLuLx5%2F5AXlQ%3D%3D&trackingId=jZI5C7NBrIjsClDmd2Z8cQ%3D%3D&trk=d_flagship3_search_srp_jobs
9,google apps script developer,aditi consulting,linkedin,contract,united states,"about the job
job description:
responsibilities:
working on automating the product security team's project management process by writing google apps script code to tie-in and automate g-suite products like gmail, forms, sheets, docs, and drive.
the candidate will help design and develop process automation that satisfies the team's requirements for managing their engagements, work-streams, and workload.
the candidate will add to, and grow, existing automation code written in google apps script.
the candidate will need to learn and understand the product security team's project management process, how it fits into the product organization, and then identify opportunities for process simplification and automation.
must have skills (most important):
expert in google apps script and the g-suite ecosystem
expert in javascript, html, and css
programming/development, including concepts like apis.
desired skills:
familiar with typescript
familiar with versioning, git, gitlab
ides, especially vs code
process automation/simplification
atlassian tool -- jira and confluence -- development, including their apis.

optional skills:
additional development languages like python, perl, bash
microsoft visio for creating process trees and flow charts.",python,2023-05-04 10:34:47.912158+00:00,https://www.linkedin.com/jobs/view/3591563560/?alternateChannel=search&refId=J56I0IXRtKlLuLx5%2F5AXlQ%3D%3D&trackingId=7XCl0DapKjHkfcHmx5VPFA%3D%3D&trk=d_flagship3_search_srp_jobs
10,duck creek developer,zencon group,linkedin,contract,united states,"about the job
need to be experience with customization within the duck creek module

top skills' details
duck creek development
policy center module
python

job description:
customer is looking for mid-to senior level duck creek developers for their work comp team working on production stabilization with a long term view of having them help move commercial policy or personal lines to duck creek policy.
this is not the on demand version of duck creek.
candidates should have commercial lines policy admin experience with duck creek since they need someone already familiar with the platform to make a strong impact from day one.",python,2023-05-04 10:34:47.912132+00:00,https://www.linkedin.com/jobs/view/3591566651/?alternateChannel=search&refId=J56I0IXRtKlLuLx5%2F5AXlQ%3D%3D&trackingId=yzXycWj1mASXnpn%2FcAmQ8A%3D%3D&trk=d_flagship3_search_srp_jobs
11,"software engineer, backend - contractor",exo freight,linkedin,contract,united states,"about the job
exo freight provides next-generation technology that is transforming trucking logistics. every day in the us, there are still hundreds of thousands of truck loads that are booked and coordinated by phone, fax or email. exo freight automates the process and adds logistics, banking, and management technology to help shippers like walmart manage and source trucking capacity, and to help trucking companies manage their fleet and get paid quickly. our starting point is open deck shipping - a $135 billion dollar market - which is how you transport large and odd shaped loads.

we have clear product market fit with over $2m per month revenue growing over 20% mom. we just closed a large series a round and are dramatically scaling up the company and engineering organization as quickly as possible.

about the role

you will be part of a talented and quickly growing team. we have a product-oriented engineering culture and are looking for folks who bring ideas and energy to meetings and who are just as comfortable engaging in a design or business discussion as they are writing great code. while your core role will be as an engineer, you will be responsible for bringing ideas from start to finish and as such you will get experience talking to stakeholders, tracking metrics, working with designers etc.

what we’re looking for
you are a highly knowledgeable and experienced software engineer with meaningful back end experience
you bring product and business ideas to meetings and are naturally a product owner, not a ticket-taker
you are used to using data to track product success and make decisions
you are excited to help set a direction for the engineering team and play a part in the overall engineering vision
you are excited to own significant areas of an engineering stack, including leading other team members
qualifications

need to have: - 5+ years of full-time employment working on web applications, ideally at high growth companies - significant experience with python - some experience with a web framework (e.g. react, angular, vue) - familiarity with coding best practices, system architecture, unit testing and database design - the ability to learn new technologies quickly - the drive to own a growing piece of an expanding organization - excellent communication skills

experience nice to have: - django - kubernetes - typescript - postgresql - react - google cloud (kubernetes, cloud functions, cloud run, redis, storage, etc) - ci/cd pipeline experience is a plus - experience with large-scale a/b testing and metrics-based product planning

note - this is a fully remote role and you do not need to be based in the us. but you will be expected to work (as close as possible to) us time zones so you can collaborate well with the team. salary is competitive and depends on location, we will discuss this early in the process.",python,2023-05-04 10:34:47.912081+00:00,https://www.linkedin.com/jobs/view/3594906176/?alternateChannel=search&refId=J56I0IXRtKlLuLx5%2F5AXlQ%3D%3D&trackingId=ic79NZpEG2V8oZz7S88CSw%3D%3D&trk=d_flagship3_search_srp_jobs
12,google apps script developer,acs solutions,linkedin,contract,"ashburn, va","about the job
innova solutions is immediately hiring for a google apps script developer

position type: contract
duration: 12+ months
location: remote
description:
as a google apps script developer you will :-
work on automating the product security team's project management process by writing google apps script code to tie-in and automate g-suite products like gmail, forms, sheets, docs, and drive.
you will help design and develop process automation that satisfies the team's requirements for managing their engagements, work-streams and workload.
you will add to, and grow, existing automation code written in google apps script.
you will need to learn and understand the product security team's project management process, how it fits into the product organization, and then identify opportunities for process simplification and automation.

must have skills (most important):
expert in google apps script and the g-suite ecosystem
expert in javascript, html, and css
programming/development, including concepts like apis

desired skills:
familiar with typescript
familiar with versioning, git, gitlab
ides, especially vs code
process automation/simplification
atlassian tool -- jira and confluence -- development, including their apis

optional skills:
additional development languages like python, perl, bash
microsoft visio for creating process trees and flow charts

the ideal candidate will have: expertise in google apps script, g-suite ecosystem, javascript, html and css
qualified candidates should apply now for immediate consideration! please hit apply to provide the required information, and we will be back in touch as soon as possible.
we are currently interviewing to fill this and other similar positions. if this role is not a fit for you, we do offer a referral bonus program for referrals that we successfully place with our clients, subject to program guidelines. ask me how.
thank you!
nikita awasthi
pay range and benefits:
pay range*: <between $70 per hour > or <$75 per hour>
*pay range offered to a successful candidate will be based on several factors, including the candidate's education, work experience, work location, specific job duties, certifications, etc.


benefits: innova solutions offers benefits( based on eligibility) that include the following: medical & pharmacy coverage, dental/vision insurance, 401(k), health saving account (hsa) and flexible spending account (fsa), life insurance, pet insurance, short term and long term disability, accident & critical illness coverage, pre-paid legal & id theft protection, sick time, and other types of paid leaves (as required by law), employee assistance program (eap).

about innova solutions: founded in 1998 and headquartered in atlanta, georgia, innova solutions employs approximately 50,000 professionals worldwide and reports an annual revenue approaching $3 billion. through our global delivery centers across north america, asia, and europe, we deliver strategic technology and business transformation solutions to our clients, enabling them to operate as leaders within their fields.
recent recognitions:
· one of largest it consulting staffing firms in the usa – recognized as #4 by staffing industry analysts (sia 2022)
· clearlyrated® client diamond award winner (2020)
· one of the largest certified mbe companies in the nmsdc network (2022)
· advanced tier services partner with aws and gold with ms

website: https://www.innovasolutions.com/

innova solutions is an equal opportunity employer and prohibits any kind of unlawful discrimination and harassment. innova solutions is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment on the basis of race, color, religion or belief, national origin, citizenship, social or ethnic origin, sex, age, physical or mental disability, veteran status, marital status, domestic partner status, sexual orientation, or any other status protected by the statutes, rules, and regulations in the locations where it operates. if you are an individual with a disability and need a reasonable accommodation to assist with your job search or application for employment, please contact us at hr@innovasolutions.com or (770) 493-5588. please indicate the specifics of the assistance needed. innova solutions encourages all interested and qualified candidates to apply for employment opportunities. innova solutions (hiregenics/volt) does not discriminate against applicants based on citizenship status, immigration status, or national origin, in accordance with 8 u.s.c. § 1324b.",python,2023-05-04 10:34:47.912054+00:00,https://www.linkedin.com/jobs/view/3594908044/?alternateChannel=search&refId=J56I0IXRtKlLuLx5%2F5AXlQ%3D%3D&trackingId=Pj9J2nuRW0PNV4NeooYn8Q%3D%3D&trk=d_flagship3_search_srp_jobs
13,python chat engineering,purview,linkedin,contract,united states,"about the job
chat engineering for the likes of mattermost, symphony, blackberry messenger
role description:
liaison with security, operations, product, engineering, architecture and vendors to manage product lifecycle, fixes, features and enhancements
workbook management through product jiras
development of low level designs to meet bank requirements and security demands
deployment of low level environments
development of documentation and hosting of training sessions to support the transition of new services into operations
advanced product testing
continual ownership for the accuracy and completeness of all technical documentation
active participation in review of requirements for technical feasibility
represent technical requirements for the deployment of new services
participate in regular requirements meetings to groom backlog and agree feature releases
ensure all non-strategic social and chat products are decommissioned from the enterprise.
qualifications / experience:
5+ years’ experience of enterprise level engineering (preferably within financial institutions) [must have]
3+ years’ experience with enterprise chat applications such as skype / jabber [must have]
microsoft m365 deployment experience [required]
experience with mobile chat application deployment [should have]
experience with deployment of open source applications[should have]
skills:
exceptional documentation and problem solving skills
tenacity and curiosity are key when developing new products.
extensive experience in cloud enabled instant messaging platforms (e.g. symphony, teams, slack)
experience with the deployment of applications to mobility frameworks incl. mam and mdm.
a team player with the ability to have individual accountability for deliverables
a clear and unambiguous communicator, (methodical, disciplined, confident, critical thinker).
proficient in proactively identifying, mitigating and resolving risk
additionally, the team are looking for similar resources for the following:
developer with strong knowledge of archival, messaging, chat and e-discovery
role description:
lead design, development and implementation of technical integrations to timely delivery
develop code that will translate from files of varying types (e.g., xml, json, csv, tab delimited, etc.) into a specific xml format
capture and log any exceptions and abnormalities with automated responses
documentation critic to ensure all custom integrations are rigorously documented for supportability and transparency
work independently and co-operatively within a team to achieve the following:
document and validate requirements
plan work sprints and provide delivery timelines
perform backend development (business logic).
provide day to day support for data and application.
ability to configure vendor products and build integrations.
develop automations and workflow software
architecture, design, product lifecycle – general engineer skills
qualifications:
no specific qualifications required, experience and approach are highly critical to this role.
skills:
technical experience [required / desired]:
python
ms sql queries & stored procedures
c#
asp.net
web apis/soap
rest services
linux
strong knowledge of:
messaging
archival
ediscovery
m365 / teams / sharepoint etc.",python,2023-05-04 10:34:47.910789+00:00,https://www.linkedin.com/jobs/view/3592108065/?alternateChannel=search&refId=C3sZNqvK2NftWmkQBkIOCQ%3D%3D&trackingId=0r%2B1xzQigT3RuU%2BXsHlx1w%3D%3D&trk=d_flagship3_search_srp_jobs
